ra,dec,source,epoch number,alpha,uv_brevity_flux,uv_brevity_error,uv_brevity_luminosity,xr_brevity_flux,xr_brevity_error,xr_brevity_luminosity,SRCID,DETID
152.40563145059,46.973264281446,1796,1,-1.508954,8.81205e-17,7.7327e-18,29.487275,6.34298e-15,6.40211e-15,25.55566,207612901010002,107612901010002
152.41842207226,46.923691562357,1797,1,-1.13442,1.152459e-16,8.417811e-18,29.808947,7.2542e-14,1.47065e-14,26.853188,207612901010001,107612901010001
152.45470461177,53.74688703449,1798,1,-1.689175,7.355636e-17,4.238736e-18,29.77432,1.548079e-15,1.05077e-15,25.373134,200703402010034,100703402010034
152.54690217783,55.705898505388,1799,1,-1.30603,3.565369e-17,3.102214e-18,29.863781,6.030846e-15,1.60239e-15,26.460888,200851701010025,100851701010025
152.57309258649,53.591788105592,1800,1,-1.887855,2.747996e-16,4.214173e-18,30.900188,1.288221e-15,1.10126e-15,25.981338,200703402010090,105009402010073
152.58863090323,55.795352286267,1801,1,-1.501274,1.415849e-16,7.568286e-18,29.921542,9.771265e-15,1.70294e-15,26.009936,200851701010005,100851701010005
152.62889133349,53.635346183853,1802,1,-1.54515,1.13051e-16,3.449516e-18,30.102191,5.272355e-15,1.29738e-15,26.076267,205009402010031,105009402010031
152.68466115998,6.1536270289864,1803,1,-1.665565,9.155385e-16,2.605267e-17,31.013184,2.070568e-14,2.08137e-15,26.673515,207840608010002,107840608010002
152.68639883468,53.794187928089,1804,1,-1.543739,1.737983e-16,4.221278e-18,29.964561,9.474695e-15,2.20215e-15,25.942313,205009402010007,105009402010007
152.77490582011,55.775779974251,1805,1,-1.478961,8.861769e-17,4.966281e-18,30.220903,5.434764e-15,9.98937e-16,26.367436,200851701010007,100851701010007
152.81280765339,53.169008156871,1806,1,-1.312268,4.146117e-17,1.926513e-18,29.003405,1.0236e-14,2.3261e-15,25.58426,201111002010007,106514202010005
152.82429413002,53.094642701301,1807,1,-1.331024,8.909311e-17,3.105535e-18,29.134739,2.084998e-14,3.3835e-15,25.666725,201111002010005,106514202010002
152.83181399094,55.679434366359,1808,1,-1.677117,8.713158e-17,4.939289e-18,30.194297,1.646078e-15,9.90673e-16,25.824529,200851701010059,100851701010059
152.90270029743,55.667386955533,1809,1,-1.710845,1.998696e-16,7.496678e-18,30.426886,3.3132e-15,9.78924e-16,25.969239,200851701010040,100851701010040
152.93346553072,53.108738641289,1810,1,-1.34528,5.275232e-17,2.740867e-18,29.43533,9.502794e-15,1.89287e-15,25.93017,201111002010010,106514202010008
152.93409454261,29.751771284602,1811,1,-1.52541,2.858449e-16,7.606005e-18,30.446508,1.545111e-14,3.77975e-15,26.472016,205033502010004,105033502010004
152.93458391399,55.683984707199,1812,1,-1.551684,2.072011e-16,3.337161e-18,30.873932,6.830729e-15,1.29674e-15,26.830982,200851701010026,100851701010026
152.9536106551,53.694302734318,1813,1,-1.426916,6.167976e-17,2.3481e-18,29.432981,6.998492e-15,1.50085e-15,25.715118,205009402010004,105009402010004
152.95390054295,55.683731396878,1814,1,-1.688619,6.371804e-16,1.27153e-17,30.897004,1.228451e-14,1.60367e-15,26.497267,200851701010010,100851701010010
152.96251112308,55.78765247372,1815,1,-1.685112,1.543612e-16,4.734908e-18,30.302686,3.005159e-15,9.52075e-16,25.912088,200851701010041,100851701010041
152.98165342163,29.694931195135,1816,1,-1.862673,8.67149e-15,5.762371e-18,32.450985,4.56497e-14,5.50296e-15,27.597747,205033502010001,105033502010001
152.98409395111,46.629957697407,1817,1,-inf,7.928838e-17,2.418309e-18,30.41627,0.0,7.47941e-16,-inf,203063706010027,103063706010027
153.00750958172,53.664008577169,1818,1,-1.501474,1.155707e-16,3.589398e-18,29.461753,9.131421e-15,2.33175e-15,25.549626,205009402010012,105009402010012
153.06678564192,46.487992829185,1819,1,-1.25138,1.022723e-16,3.786529e-18,30.002448,2.858173e-14,3.92911e-15,26.741948,203063706010003,103063706010003
153.16279217623,53.15221407277,1820,1,-1.594423,1.96394e-16,5.245538e-18,30.342728,6.81277e-15,1.98027e-15,26.18842,201111002010009,106514202010026
153.18254273385,53.175481789216,1821,1,-1.583513,1.308408e-16,2.061893e-18,30.426828,4.192267e-15,1.31649e-15,26.300948,201111002010020,106514202010017
153.19197231873,46.529691246308,1822,1,-1.578028,4.435742e-16,6.611017e-18,30.889533,1.528759e-14,4.37167e-15,26.777944,203063706010005,103063706010005
153.31058766286,-0.0911165069588229,1823,1,-1.163545,3.900444e-17,3.994885e-18,28.421323,2.712358e-14,5.0827e-15,25.38968,202017504010004,102017504010004
153.35737566351,49.642770255829,1824,1,-1.530744,1.212144e-16,5.001014e-18,30.459632,5.116906e-15,1.38322e-15,26.471242,202063402010009,102063402010009
153.35855906113,-0.026797027591089,1825,1,-0.924756,6.428575e-17,5.053617e-18,28.327435,1.981268e-13,1.22206e-14,25.917961,202017504010001,102017504010001
153.48400498953,49.618582435385,1826,1,-1.48762,2.988194e-16,1.026636e-17,30.629808,1.861611e-14,2.40283e-15,26.75378,202063402010001,102063402010001
153.54125140268,-0.0257556876187259,1827,1,-1.443934,5.694382e-16,3.893529e-17,30.498872,5.606104e-14,1.54221e-14,26.736668,202017504010002,103057501010003
153.79977777321,52.118886784348,1828,1,-1.322052,9.050727e-17,6.069813e-18,29.588778,1.934399e-14,8.82355e-15,26.14414,200867501010002,100867501010002
153.99940467108,52.188861741482,1829,1,-2.008813,1.189031e-16,8.590616e-18,30.059941,3.54564e-16,1.78089e-15,24.82593,200867501010009,100867501010009
154.00953340565,52.288364799958,1830,1,-1.556129,7.932696e-17,5.74086e-18,29.622194,4.017564e-15,5.51869e-15,25.567662,200867501010021,100867501010021
154.059025011,52.154600950009,1831,1,-1.411513,1.537359e-16,2.347737e-18,30.651872,1.25236e-14,4.16404e-15,26.974141,200867501010007,100867501010007
154.09877583787,38.981670192066,1832,1,-1.613313,4.310721e-16,8.717244e-18,31.122985,1.030089e-14,2.12276e-15,26.919459,200842307010015,100842307010015
154.10267427883,52.281035936754,1833,1,-1.48379,2.917152e-16,9.200961e-18,30.802914,1.671459e-14,5.70082e-15,26.936865,200867501010016,100867501010016
154.27170489713,38.945289138122,1834,1,-1.687075,9.344332e-17,7.018561e-18,30.255254,1.633211e-15,1.01398e-15,25.85954,200842307010032,100842307010032
154.28731432025,38.932603218422,1835,1,-1.412489,1.961886e-16,2.365212e-17,29.802468,2.547837e-14,2.87543e-15,26.122194,200842307010006,100842307010006
154.32928217628,59.492269220984,1836,1,-1.632868,4.106446e-16,2.322045e-17,30.368688,1.29508e-14,3.34625e-15,26.114212,204066302010007,104066302010007
154.3359711337,38.960661262067,1837,1,-1.368421,3.037338e-16,3.708409e-17,29.813528,5.445635e-14,3.99992e-15,26.248075,200842307010003,100842307010003
154.37707082199,59.511789754799,1838,1,-1.693941,1.846793e-16,1.353193e-17,30.042346,4.002856e-15,2.13436e-15,25.628742,204066302010012,104066302010012
154.41002014317,59.683086089469,1839,1,-inf,4.305791e-17,2.472695e-18,29.189614,0.0,1.14476e-15,-inf,204066302010018,104066302010018
154.45569268595,41.383258039036,1840,1,-1.495825,9.524965e-17,6.495047e-18,29.389422,7.756179e-15,2.22912e-15,25.492014,200287403010014,100287403010014
154.45918144315,59.467413081324,1841,1,-1.702161,3.217313e-16,4.218268e-18,30.928987,4.716907e-15,2.53714e-15,26.493965,204066302010019,104066302010019
154.54863205699,59.658099711431,1842,1,-1.619958,2.035057e-16,1.33539e-17,30.263028,6.347222e-15,2.92196e-15,26.04219,204066302010015,104066302010015
154.70268969814,41.39548316711,1843,1,-1.637794,1.983054e-16,9.42826e-18,30.417088,5.112748e-15,1.24737e-15,26.149777,200287403010012,100287403010012
154.71045782748,41.252198780029,1844,1,-1.493152,1.155069e-15,9.018255e-17,30.317064,1.002299e-13,6.58657e-15,26.426621,200287403010001,100287403010001
154.73970147212,41.430292320068,1845,1,-1.486895,1.943325e-16,7.087574e-18,30.637633,1.085421e-14,1.91422e-15,26.763494,200287403010020,100287403010020
154.74408557409,41.415601644266,1846,1,-1.538758,4.822354e-16,4.931646e-17,30.325244,2.798043e-14,2.61506e-15,26.315973,200287403010004,100287403010004
154.81484775601,45.057712377255,1847,1,-1.70896,1.814189e-16,4.201815e-18,30.570434,2.735859e-15,1.74161e-15,26.117698,206061902010023,106061902010023
155.00979450356,45.032862152739,1848,1,-1.513289,2.384265e-16,6.719905e-18,30.212673,1.48913e-14,2.45754e-15,26.269763,206061902010002,106061902010002
155.01591088997,8.3103957045056,1849,1,-1.39213,3.037329e-16,9.404963e-18,30.819345,3.018169e-14,4.96122e-15,27.192116,200936403010002,100936403010002
155.1279322993,45.082545409456,1850,1,-1.538711,2.342677e-16,3.068306e-18,30.568497,1.048059e-14,2.43005e-15,26.55935,206061902010007,106061902010007
155.13905328202,45.06452118478,1851,1,-1.408122,5.745317e-17,5.273621e-18,29.683221,6.479086e-15,2.10913e-15,26.014325,206061902010021,106061902010021
155.30035444707,23.939546090852,1852,1,-1.437556,2.400762e-16,8.937218e-18,30.306257,2.26701e-14,7.42922e-15,26.560671,201525801010002,101525801010002
155.32387394606,13.262968807863,1853,1,-1.595142,6.490461e-16,1.680944e-17,30.921906,2.17302e-14,3.41305e-15,26.765726,201469901010010,101469901010010
155.35384553197,13.020983718492,1854,1,-1.629859,9.118852e-16,8.771906e-17,30.702686,2.943357e-14,3.1989e-15,26.456049,201469901010004,101469901010004
155.37109877155,21.935986787116,1855,1,-1.73022,9.413096e-16,5.112009e-17,31.029646,1.441151e-14,3.61025e-15,26.521517,204065404010004,104065404010004
155.3928287253,21.910440521401,1856,2,-1.626659,4.702361e-16,1.717865e-17,30.767007,1.313429e-14,2.63558e-15,26.528709,204065404010013,104065411010006
155.39300495451,21.910585843786,1856,2,-1.583039,3.361104e-16,1.932727e-17,30.621173,1.21962e-14,3.35226e-15,26.496527,204065404010013,104065404010013
155.40468596705,13.02933081192,1857,1,-1.837907,2.29388e-16,1.262334e-17,30.270316,1.976108e-15,1.08591e-15,25.481607,201469901010070,101469901010070
155.41337041906,21.879132025297,1858,1,-1.809103,1.462187e-16,6.444151e-18,30.542118,1.161179e-15,1.43224e-15,25.828456,204065404010036,104065404010036
155.44765862365,13.147343925934,1859,1,-1.435103,5.322868e-16,6.993209e-17,30.094375,6.323827e-14,3.86044e-15,26.35518,201469901010002,101469901010002
155.46174097357,21.884852938495,1860,1,-1.747376,1.150976e-16,1.895918e-17,29.560536,2.01168e-15,1.5202e-15,25.007707,204065404010015,104065404010015
155.46874297449,13.196204417079,1861,1,-1.430115,3.825978e-16,6.614951e-17,29.795685,4.903073e-14,4.24938e-15,26.069486,201469901010003,101469901010003
155.57780323745,21.625641613648,1862,1,-1.373262,7.620566e-17,2.819655e-18,30.439008,7.330018e-15,1.10627e-15,26.860941,202027301010014,102027301010014
155.5989132444,38.57329745807,1863,2,-1.696019,4.381599e-16,1.440115e-17,30.634687,8.498977e-15,2.53502e-15,26.215668,205036005010010,105036013010017
155.59913257265,38.573172412013,1863,2,-1.671614,5.11135e-16,1.290812e-17,30.70159,1.14778e-14,5.73918e-15,26.34616,205036005010010,105036005010010
155.60037026881,21.975762123345,1864,1,-1.717523,6.153557e-16,4.937247e-17,30.655475,1.113261e-14,2.42716e-15,26.180427,204065404010002,104065404010002
155.71644067449,19.811185420139,1865,1,-1.484374,4.213817e-16,2.470479e-17,30.272441,3.380722e-14,2.96812e-15,26.404869,201010403010004,101010403010004
155.75153122029,19.902731559752,1866,1,-1.221088,4.415221e-17,7.370668e-18,29.208766,1.773571e-14,2.60684e-15,26.027192,201010403010025,101010403010025
155.80536131967,19.947896830628,1867,1,-1.580073,9.686615e-16,4.966979e-17,30.793432,4.102314e-14,2.75438e-15,26.676514,201010403010003,101010403010003
155.82017028988,0.59743881378164,1868,3,-1.53173,7.392827e-17,2.064283e-18,30.262971,3.066891e-15,1.97739e-15,26.272011,202030502010032,107483905010016
155.82017347241,0.59749105855208,1868,3,-1.507162,7.52481e-17,4.217467e-18,30.270656,3.617407e-15,1.27874e-15,26.34371,202030502010032,107200301010021
155.82036784971,0.59725583964955,1868,3,-1.725732,7.346078e-17,2.049546e-18,30.260216,9.516304e-16,1.39507e-15,25.763781,202030502010032,107833303010021
155.82776338615,19.810044139851,1869,1,-1.848973,7.521239e-16,1.019471e-17,31.080166,5.215777e-15,9.8426e-16,26.262622,201010403010028,101010403010028
155.9235268964,43.795273268992,1870,1,-1.799573,2.813551e-16,1.79593e-17,30.566211,2.75234e-15,1.07179e-15,25.87738,205036302010019,105036302010019
155.96222867702,4.2615847333515,1871,3,-1.788924,6.701004e-16,6.053882e-18,31.051055,6.583133e-15,1.06255e-15,26.38997,201086701010015,106055403010008
155.96225903228,4.2616353421491,1871,3,-1.746487,5.687191e-16,7.376743e-18,30.979813,7.207118e-15,9.03555e-16,26.429299,201086701010015,101086701010015
155.96255529958,4.2617276403929,1871,3,-1.733705,7.755537e-16,1.036571e-17,31.114527,1.061159e-14,7.96644e-16,26.597318,201086701010015,106055402010005
156.04010908501,43.803680159128,1872,1,-1.712522,6.79788e-16,3.630394e-17,30.455077,1.400871e-14,1.76087e-15,25.99306,205036302010002,105036302010002
156.04594627153,47.298159781411,1873,1,-1.64057,4.421923e-16,1.56369e-17,30.201925,1.43784e-14,2.29215e-15,25.927382,202010401010001,102010401010001
156.05836633687,47.086554636995,1874,1,-1.608981,2.651271e-16,1.302689e-17,30.717791,7.360768e-15,1.75375e-15,26.525552,202010401010006,102010401010006
156.08210281288,0.6613556959532,1875,1,-1.587047,7.257546e-17,2.819878e-18,30.296628,2.102869e-15,1.25996e-15,26.161539,202030502010078,107483905010014
156.0821725881,0.66198203688205,1876,1,-1.404716,5.970969e-17,1.491908e-18,30.211883,5.165773e-15,1.83527e-15,26.551862,202030502010078,107483907010007
156.0821809526,0.66172912247821,1877,2,-1.485214,5.218321e-17,3.759051e-18,30.153369,2.785373e-15,1.38971e-15,26.28361,202030502010078,107483901010026
156.08229239606,0.66163045521248,1877,2,-1.483843,6.742979e-17,2.084377e-18,30.26469,3.628911e-15,1.83942e-15,26.398503,202030502010078,107483906010009
